"Country","Year","Pathogen","Antibiotic","Total","Resistant","Data","Region"
"Afghanistan",2019,"Escherichia coli","Ceftazidime",14,3,"GLASS","Eastern Mediterranean Region"
"Afghanistan",2019,"Escherichia coli","Ceftriaxone",27,19,"GLASS","Eastern Mediterranean Region"
"Afghanistan",2019,"Escherichia coli","Cefotaxime",12,8,"GLASS","Eastern Mediterranean Region"
"Afghanistan",2019,"Escherichia coli","Trimethoprim/sulfamethoxazole",16,11,"GLASS","Eastern Mediterranean Region"
"Argentina",2017,"Acinetobacter baumannii","Amikacin",322,67,"GLASS","Region of the Americas"
"Argentina",2017,"Acinetobacter baumannii","Colistin",360,4,"GLASS","Region of the Americas"
"Argentina",2017,"Acinetobacter baumannii","Gentamicin",366,225,"GLASS","Region of the Americas"
"Argentina",2017,"Acinetobacter baumannii","Imipenem",370,279,"GLASS","Region of the Americas"
"Argentina",2017,"Acinetobacter baumannii","Meropenem",369,278,"GLASS","Region of the Americas"
"Argentina",2017,"Acinetobacter baumannii","Minocycline",219,10,"GLASS","Region of the Americas"
"Argentina",2017,"Escherichia coli","Ampicillin",35047,22554,"GLASS","Region of the Americas"
"Argentina",2017,"Escherichia coli","Ceftazidime",22674,2682,"GLASS","Region of the Americas"
"Argentina",2017,"Escherichia coli","Ciprofloxacin",35133,7501,"GLASS","Region of the Americas"
"Argentina",2017,"Escherichia coli","Colistin",28892,156,"GLASS","Region of the Americas"
"Argentina",2017,"Escherichia coli","Cefotaxime",17864,2809,"GLASS","Region of the Americas"
"Argentina",2017,"Escherichia coli","Ertapenem",1379,14,"GLASS","Region of the Americas"
"Argentina",2017,"Escherichia coli","Cefepime",20782,2348,"GLASS","Region of the Americas"
"Argentina",2017,"Escherichia coli","Imipenem",21612,38,"GLASS","Region of the Americas"
"Argentina",2017,"Escherichia coli","Meropenem",21592,52,"GLASS","Region of the Americas"
"Argentina",2017,"Escherichia coli","Trimethoprim/sulfamethoxazole",34695,13972,"GLASS","Region of the Americas"
"Argentina",2017,"Escherichia coli","Tinidazole",1358,281,"GLASS","Region of the Americas"
"Argentina",2017,"Klebsiella pneumoniae","Ceftazidime",4538,2370,"GLASS","Region of the Americas"
